accession,gene,length,protein_name
Q9NZC4,EHF,300,ETS homologous factor (hEHF) (ETS domain-containing transcription factor) (Epithelium-specific Ets transcription factor 3) (ESE-3)
Q9NZC7,WWOX,414,WW domain-containing oxidoreductase (EC 1.1.1.-) (Fragile site FRA16D oxidoreductase) (Short chain dehydrogenase/reductase family 41C member 1)
Q9NZC9,SMARCAL1,954,SNF2 related chromatin remodeling annealing helicase 1 (EC 3.6.4.-) (EC 5.6.2.-) (HepA-related protein) (hHARP) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1) (Sucrose nonfermenting protein 2-like 1)
Q9NZD1,GPRC5D,345,G-protein coupled receptor family C group 5 member D
Q9NZD2,GLTP,209,Glycolipid transfer protein (GLTP)
Q9NZD4,AHSP,102,Alpha-hemoglobin-stabilizing protein (Erythroid differentiation-related factor) (Erythroid-associated factor)
Q9NZD8,SPG21,308,Maspardin (Acid cluster protein 33) (Spastic paraplegia 21 autosomal recessive Mast syndrome protein) (Spastic paraplegia 21 protein)
Q9NZE8,MRPL35,188,"Large ribosomal subunit protein bL35m (39S ribosomal protein L35, mitochondrial) (L35mt) (MRP-L35)"
Q9NZG7,NINJ2,142,Ninjurin-2 (Nerve injury-induced protein 2)
Q9NZH0,GPRC5B,403,G-protein coupled receptor family C group 5 member B (A-69G12.1) (Retinoic acid-induced gene 2 protein) (RAIG-2)
Q9NZH6,IL37,218,Interleukin-37 (IL-37) (FIL1 zeta) (IL-1X) (Interleukin-1 family member 7) (IL-1F7) (Interleukin-1 homolog 4) (IL-1H) (IL-1H4) (Interleukin-1 zeta) (IL-1 zeta) (Interleukin-1-related protein) (IL-1RP1)
Q9NZH7,IL36B,164,Interleukin-36 beta (FIL1 eta) (Interleukin-1 eta) (IL-1 eta) (Interleukin-1 family member 8) (IL-1F8) (Interleukin-1 homolog 2) (IL-1H2)
Q9NZH8,IL36G,169,Interleukin-36 gamma (IL-1-related protein 2) (IL-1RP2) (Interleukin-1 epsilon) (IL-1 epsilon) (Interleukin-1 family member 9) (IL-1F9) (Interleukin-1 homolog 1) (IL-1H1)
Q9NZI2,KCNIP1,227,A-type potassium channel modulatory protein KCNIP1 (Kv channel-interacting protein 1) (KChIP1) (Potassium channel-interacting protein 1) (Vesicle APC-binding protein)
Q9NZI5,GRHL1,618,Grainyhead-like protein 1 homolog (Mammalian grainyhead) (NH32) (Transcription factor CP2-like 2) (Transcription factor LBP-32)
Q9NZI6,TFCP2L1,479,Transcription factor CP2-like protein 1 (CP2-related transcriptional repressor 1) (CRTR-1) (Transcription factor LBP-9)
Q9NZI7,UBP1,540,Upstream-binding protein 1 (Transcription factor LBP-1)
Q9NZI8,IGF2BP1,577,Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (IMP1) (Coding region determinant-binding protein) (CRD-BP) (IGF-II mRNA-binding protein 1) (VICKZ family member 1) (Zipcode-binding protein 1) (ZBP-1)
Q9NZJ0,DTL,730,Denticleless protein homolog (DDB1- and CUL4-associated factor 2) (Lethal(2) denticleless protein homolog) (Retinoic acid-regulated nuclear matrix-associated protein)
Q9NZJ4,SACS,4579,Sacsin (DnaJ homolog subfamily C member 29)
Q9NZJ5,EIF2AK3,1116,Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK) (Protein tyrosine kinase EIF2AK3) (EC 2.7.10.2)
Q9NZJ6,COQ3,369,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3-demethylubiquinol 3-O-methyltransferase) (EC 2.1.1.64) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.-) (Polyprenyldihydroxybenzoate methyltransferase) (EC 2.1.1.114)"
Q9NZJ7,MTCH1,389,Mitochondrial carrier homolog 1 (Presenilin-associated protein)
Q9NZJ9,NUDT4,180,"Diphosphoinositol polyphosphate phosphohydrolase 2 (DIPP-2) (EC 3.6.1.52) (Diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase 2) (EC 3.6.1.61) (Nucleoside diphosphate-linked moiety X motif 4) (Nudix motif 4)"
Q9NZK5,ADA2,511,Adenosine deaminase 2 (EC 3.5.4.4) (Cat eye syndrome critical region protein 1)
Q9NZK7,PLA2G2E,142,Group IIE secretory phospholipase A2 (GIIE sPLA2) (sPLA2-IIE) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 2E)
Q9NZL3,ZNF224,707,Zinc finger protein 224 (Bone marrow zinc finger 2) (BMZF-2) (Zinc finger protein 233) (Zinc finger protein 255) (Zinc finger protein 27) (Zinc finger protein KOX22)
Q9NZL4,HSPBP1,359,Hsp70-binding protein 1 (HspBP1) (Heat shock protein-binding protein 1) (Hsp70-binding protein 2) (HspBP2) (Hsp70-interacting protein 1) (Hsp70-interacting protein 2)
Q9NZL9,MAT2B,334,Methionine adenosyltransferase 2 subunit beta (Methionine adenosyltransferase II beta) (MAT II beta) (Putative dTDP-4-keto-6-deoxy-D-glucose 4-reductase)
Q9NZM1,MYOF,2061,Myoferlin (Fer-1-like protein 3)
Q9NZM3,ITSN2,1697,Intersectin-2 (SH3 domain-containing protein 1B) (SH3P18) (SH3P18-like WASP-associated protein)
Q9NZM4,BICRA,1560,BRD4-interacting chromatin-remodeling complex-associated protein (Glioma tumor suppressor candidate region gene 1 protein)
Q9NZM5,NOP53,478,Ribosome biogenesis protein NOP53 (Glioma tumor suppressor candidate region gene 2 protein) (Protein interacting with carboxyl terminus 1) (PICT-1) (p60)
Q9NZM6,PKD2L2,624,Polycystin-2-like protein 2 (Polycystin-2L2) (Polycystic kidney disease 2-like 2 protein) (Polycystin-L2)
Q9NZN1,IL1RAPL1,696,Interleukin-1 receptor accessory protein-like 1 (IL-1-RAPL-1) (IL-1RAPL-1) (IL1RAPL-1) (EC 3.2.2.6) (Oligophrenin-4) (Three immunoglobulin domain-containing IL-1 receptor-related 2) (TIGIRR-2) (X-linked interleukin-1 receptor accessory protein-like 1)
Q9NZN3,EHD3,535,EH domain-containing protein 3 (PAST homolog 3)
Q9NZN4,EHD2,543,EH domain-containing protein 2 (PAST homolog 2)
Q9NZN5,ARHGEF12,1544,Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF)
Q9NZN8,CNOT2,540,CCR4-NOT transcription complex subunit 2 (CCR4-associated factor 2)
Q9NZN9,AIPL1,384,Aryl-hydrocarbon-interacting protein-like 1
Q9NZP6,NPAP1,1156,Nuclear pore-associated protein 1
Q9NZP8,C1RL,487,Complement C1r subcomponent-like protein (C1r-LP) (C1r-like protein) (EC 3.4.21.-) (C1r-like serine protease analog protein) (CLSPa)
Q9NZQ3,NCKIPSD,722,NCK-interacting protein with SH3 domain (54 kDa VacA-interacting protein) (54 kDa vimentin-interacting protein) (VIP54) (90 kDa SH3 protein interacting with Nck) (AF3p21) (Dia-interacting protein 1) (DIP-1) (Diaphanous protein-interacting protein) (SH3 adapter protein SPIN90) (WASP-interacting SH3-domain protein) (WISH) (Wiskott-Aldrich syndrome protein-interacting protein)
Q9NZQ7,CD274,290,Programmed cell death 1 ligand 1 (PD-L1) (PDCD1 ligand 1) (Programmed death ligand 1) (hPD-L1) (B7 homolog 1) (B7-H1) (CD antigen CD274)
Q9NZQ8,TRPM5,1165,Transient receptor potential cation channel subfamily M member 5 (Long transient receptor potential channel 5) (LTrpC-5) (LTrpC5) (MLSN1- and TRP-related gene 1 protein)
Q9NZR1,TMOD2,351,Tropomodulin-2 (Neuronal tropomodulin) (N-Tmod)
Q9NZR2,LRP1B,4599,Low-density lipoprotein receptor-related protein 1B (LRP-1B) (Low-density lipoprotein receptor-related protein-deleted in tumor) (LRP-DIT)
Q9NZR4,VSX1,365,Visual system homeobox 1 (Homeodomain protein RINX) (Retinal inner nuclear layer homeobox protein) (Transcription factor VSX1)
Q9NZS2,KLRF1,231,Killer cell lectin-like receptor subfamily F member 1 (Lectin-like receptor F1) (Activating coreceptor NKp80) (C-type lectin domain family 5 member C)
Q9NZS9,BFAR,450,Bifunctional apoptosis regulator (EC 2.3.2.27) (RING finger protein 47)
Q9NZT1,CALML5,146,Calmodulin-like protein 5 (Calmodulin-like skin protein)
Q9NZU0,FLRT3,649,Leucine-rich repeat transmembrane protein FLRT3 (Fibronectin-like domain-containing leucine-rich transmembrane protein 3)
Q9NZU1,FLRT1,674,Leucine-rich repeat transmembrane protein FLRT1 (Fibronectin-like domain-containing leucine-rich transmembrane protein 1)
Q9NZU5,LMCD1,365,LIM and cysteine-rich domains protein 1 (Dyxin)
Q9NZU7,CABP1,370,Calcium-binding protein 1 (CaBP1) (Calbrain) (Caldendrin)
Q9NZV1,CRIM1,1036,Cysteine-rich motor neuron 1 protein (CRIM-1) (Cysteine-rich repeat-containing protein S52) [Cleaved into: Processed cysteine-rich motor neuron 1 protein]
Q9NZV5,SELENON,590,Selenoprotein N (SelN)
Q9NZV6,MSRB1,116,Methionine-R-sulfoxide reductase B1 (MsrB1) (EC 1.8.4.12) (EC 1.8.4.14) (Selenoprotein X) (SelX)
Q9NZV7,ZIM2,527,Zinc finger imprinted 2 (Zinc finger protein 656)
Q9NZV8,KCND2,630,A-type voltage-gated potassium channel KCND2 (Potassium voltage-gated channel subfamily D member 2) (Voltage-gated potassium channel subunit Kv4.2)
Q9NZW4,DSPP,1301,Dentin sialophosphoprotein [Cleaved into: Dentin phosphoprotein (Dentin phosphophoryn) (DPP); Dentin sialoprotein (DSP)]
Q9NZZ3,CHMP5,219,Charged multivesicular body protein 5 (Chromatin-modifying protein 5) (SNF7 domain-containing protein 2) (Vacuolar protein sorting-associated protein 60) (Vps60) (hVps60)
Q9P000,COMMD9,198,COMM domain-containing protein 9
Q9P003,CNIH4,139,Protein cornichon homolog 4 (CNIH-4) (Cornichon family AMPA receptor auxiliary protein 4)
Q9P013,CWC15,229,Spliceosome-associated protein CWC15 homolog
Q9P021,CRIPT,101,Cysteine-rich PDZ-binding protein (Cysteine-rich interactor of PDZ three) (Cysteine-rich interactor of PDZ3)
Q9P032,NDUFAF4,175,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4 (Hormone-regulated proliferation-associated protein of 20 kDa)
Q9P035,HACD3,362,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 3) (HACD3) (Butyrate-induced protein 1) (B-ind1) (hB-ind1) (Protein-tyrosine phosphatase-like A domain-containing protein 1)
Q9P055,JKAMP,311,JNK1/MAPK8-associated membrane protein (JKAMP) (JNK1-associated membrane protein) (JAMP) (Medulloblastoma antigen MU-MB-50.4)
Q9P086,MED11,117,Mediator of RNA polymerase II transcription subunit 11 (Mediator complex subunit 11)
Q9P0B6,CCDC167,97,Coiled-coil domain-containing protein 167
Q9P0G3,KLK14,251,Kallikrein-14 (hK14) (EC 3.4.21.-) (Kallikrein-like protein 6) (KLK-L6)
Q9P0I2,EMC3,261,ER membrane protein complex subunit 3 (Transmembrane protein 111)
Q9P0J0,NDUFA13,144,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Cell death regulatory protein GRIM-19) (Complex I-B16.6) (CI-B16.6) (Gene associated with retinoic and interferon-induced mortality 19 protein) (GRIM-19) (Gene associated with retinoic and IFN-induced mortality 19 protein) (NADH-ubiquinone oxidoreductase B16.6 subunit)
Q9P0J1,PDP1,537,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (PDP 1) (EC 3.1.3.43) (Protein phosphatase 2C) (Pyruvate dehydrogenase phosphatase catalytic subunit 1) (PDPC 1)"
Q9P0J7,KCMF1,381,E3 ubiquitin-protein ligase KCMF1 (EC 2.3.2.27) (FGF-induced in gastric cancer) (Potassium channel modulatory factor) (PCMF) (ZZ-type zinc finger-containing protein 1)
Q9P0K1,ADAM22,906,"Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (Metalloproteinase-disintegrin ADAM22-3) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2)"
Q9P0K7,RAI14,980,Ankycorbin (Ankyrin repeat and coiled-coil structure-containing protein) (Novel retinal pigment epithelial cell protein) (Retinoic acid-induced protein 14)
Q9P0K8,FOXJ2,574,Forkhead box protein J2 (Fork head homologous X)
Q9P0K9,FRRS1L,293,DOMON domain-containing protein FRRS1L (Brain protein CG-6) (Ferric-chelate reductase 1-like protein)
Q9P0L0,VAPA,249,Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein) (VAP-33)
Q9P0L1,ZKSCAN7,754,Zinc finger protein with KRAB and SCAN domains 7 (Zinc finger protein 167) (Zinc finger protein 448) (Zinc finger protein 64)
Q9P0L2,MARK1,795,Serine/threonine-protein kinase MARK1 (EC 2.7.11.1) (EC 2.7.11.26) (MAP/microtubule affinity-regulating kinase 1) (PAR1 homolog c) (Par-1c) (Par1c)
Q9P0L9,PKD2L1,805,Polycystin-2-like protein 1 (Polycystin-2L1) (Polycystic kidney disease 2-like 1 protein) (Polycystin-2 homolog) (Polycystin-L) (Polycystin-L1)
Q9P0M2,AKAP7,348,A-kinase anchor protein 7 isoform gamma (AKAP-7 isoform gamma) (A-kinase anchor protein 18 kDa) (AKAP 18) (Protein kinase A-anchoring protein 7 isoform gamma) (PRKA7 isoform gamma)
Q9P0M6,MACROH2A2,372,Core histone macro-H2A.2 (Histone macroH2A2) (mH2A2)
Q9P0N5,TMEM216,145,Transmembrane protein 216
Q9P0N8,MARCHF2,246,E3 ubiquitin-protein ligase MARCHF2 (EC 2.3.2.27) (Membrane-associated RING finger protein 2) (Membrane-associated RING-CH protein II) (MARCH-II) (RING finger protein 172) (RING-type E3 ubiquitin transferase MARCHF2)
Q9P0N9,TBC1D7,293,TBC1 domain family member 7 (Cell migration-inducing protein 23)
Q9P0P0,RNF181,153,E3 ubiquitin-protein ligase RNF181 (EC 2.3.2.27) (RING finger protein 181)
Q9P0P8,MTRES1,240,Mitochondrial transcription rescue factor 1
Q9P0R6,GSKIP,139,GSK3B-interacting protein (GSKIP) (GSK3beta interaction protein)
Q9P0S2,COX16,106,"Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial (hCOX16)"
Q9P0S3,ORMDL1,153,ORM1-like protein 1 (Adoplin-1)
Q9P0S9,TMEM14C,112,Transmembrane protein 14C
Q9P0T4,ZNF581,197,Zinc finger protein 581
Q9P0T7,TMEM9,183,Proton-transporting V-type ATPase complex assembly regulator TMEM9 (v-ATPase assembly regulator TMEM9) (Dermal papilla-derived protein 4) (Transmembrane protein 9) (Protein TMEM9)
Q9P0U1,TOMM7,55,Mitochondrial import receptor subunit TOM7 homolog (Translocase of outer membrane 7 kDa subunit homolog)
Q9P0U3,SENP1,644,Sentrin-specific protease 1 (EC 3.4.22.-) (Sentrin/SUMO-specific protease SENP1)
Q9P0U4,CXXC1,656,CXXC-type zinc finger protein 1 (CpG-binding protein) (PHD finger and CXXC domain-containing protein 1)
Q9P0V3,SH3BP4,963,SH3 domain-binding protein 4 (EH-binding protein 10) (Transferrin receptor-trafficking protein)
Q9P0V8,SLAMF8,285,SLAM family member 8 (B-lymphocyte activator macrophage expressed) (BCM-like membrane protein) (CD antigen CD353)
Q9P0V9,SEPTIN10,454,Septin-10
Q9P0W0,IFNK,207,Interferon kappa (IFN-kappa)
Q9P0W2,HMG20B,317,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related (SMARCE1-related protein) (BRCA2-associated factor 35) (HMG box-containing protein 20B) (HMG domain-containing protein 2) (HMG domain-containing protein HMGX2) (Sox-like transcriptional factor) (Structural DNA-binding protein BRAF35)
Q9P0W8,SPATA7,599,Spermatogenesis-associated protein 7 (HSD-3.1) (Spermatogenesis-associated protein HSD3)
Q9P0X4,CACNA1I,2223,Voltage-dependent T-type calcium channel subunit alpha-1I (Voltage-gated calcium channel subunit alpha Cav3.3) (Ca(v)3.3)
Q9P0Z9,PIPOX,390,Peroxisomal sarcosine oxidase (PSO) (EC 1.5.3.1) (EC 1.5.3.7) (L-pipecolate oxidase) (L-pipecolic acid oxidase)
Q9P107,GMIP,970,GEM-interacting protein (GMIP)
Q9P109,GCNT4,453,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4 (EC 2.4.1.102) (Core 2-branching enzyme 3) (Core2-GlcNAc-transferase 3) (C2GnT3)"
Q9P121,NTM,344,Neurotrimin (hNT) (IgLON family member 2)
Q9P126,CLEC1B,229,C-type lectin domain family 1 member B (C-type lectin-like receptor 2) (CLEC-2)
Q9P127,LUZP4,313,Leucine zipper protein 4 (Cancer/testis antigen 28) (CT-28) (CT28) (Tumor antigen HOM-TES-85)
Q9P1A6,DLGAP2,1054,Disks large-associated protein 2 (DAP-2) (PSD-95/SAP90-binding protein 2) (SAP90/PSD-95-associated protein 2) (SAPAP2)
Q9P1Q0,VPS54,977,Vacuolar protein sorting-associated protein 54 (Hepatocellular carcinoma protein 8) (Tumor antigen HOM-HCC-8) (Tumor antigen SLP-8p)
Q9P1T7,MDFIC,246,MyoD family inhibitor domain-containing protein (I-mfa domain-containing protein) (hIC)
Q9P1U0,POLR1H,126,DNA-directed RNA polymerase I subunit RPA12 (DNA-directed RNA polymerase I subunit H) (Zinc ribbon domain-containing protein 1)
Q9P1U1,ACTR3B,418,Actin-related protein 3B (ARP3-beta) (Actin-like protein 3B) (Actin-related protein ARP4)
Q9P1W3,TMEM63C,806,Osmosensitive cation channel TMEM63C (Calcium permeable stress-gated cation channel 1) (Transmembrane protein 63C) (hTMEM63C)
Q9P1W8,SIRPG,387,Signal-regulatory protein gamma (SIRP-gamma) (CD172 antigen-like family member B) (Signal-regulatory protein beta-2) (SIRP-b2) (SIRP-beta-2) (CD antigen CD172g)
Q9P1W9,PIM2,311,Serine/threonine-protein kinase pim-2 (EC 2.7.11.1) (Pim-2h)
Q9P1Y5,CAMSAP3,1249,Calmodulin-regulated spectrin-associated protein 3 (Protein Nezha)
Q9P1Z0,ZBTB4,1013,Zinc finger and BTB domain-containing protein 4 (KAISO-like zinc finger protein 1) (KAISO-L1)
Q9P1Z2,CALCOCO1,691,Calcium-binding and coiled-coil domain-containing protein 1 (Calphoglin) (Coiled-coil coactivator protein) (Sarcoma antigen NY-SAR-3)
Q9P1Z3,HCN3,774,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3
Q9P202,WHRN,907,Whirlin (Autosomal recessive deafness type 31 protein)
Q9P206,NHSL3,1035,NHS-like protein 3
Q9P209,CEP72,647,Centrosomal protein of 72 kDa (Cep72)
Q9P212,PLCE1,2302,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 (EC 3.1.4.11) (Pancreas-enriched phospholipase C) (Phosphoinositide phospholipase C-epsilon-1) (Phospholipase C-epsilon-1) (PLC-epsilon-1)"
Q9P219,CCDC88C,2028,Protein Daple (Coiled-coil domain-containing protein 88C) (Dvl-associating protein with a high frequency of leucine residues) (hDaple) (Hook-related protein 2) (HkRP2)
Q9P225,DNAH2,4427,Dynein axonemal heavy chain 2 (Axonemal beta dynein heavy chain 2) (Ciliary dynein heavy chain 2) (Dynein heavy chain domain-containing protein 3)
Q9P232,CNTN3,1028,Contactin-3 (Brain-derived immunoglobulin superfamily protein 1) (BIG-1) (Plasmacytoma-associated neuronal glycoprotein)
Q9P241,ATP10D,1426,Phospholipid-transporting ATPase VD (EC 7.6.2.1) (ATPase class V type 10D) (P4-ATPase flippase complex alpha subunit ATP10D)
Q9P243,ZFAT,1243,Zinc finger protein ZFAT (Zinc finger gene in AITD susceptibility region) (Zinc finger protein 406)
Q9P244,LRFN1,771,Leucine-rich repeat and fibronectin type III domain-containing protein 1 (Synaptic adhesion-like molecule 2)
Q9P246,STIM2,746,Stromal interaction molecule 2
Q9P253,VPS18,973,Vacuolar protein sorting-associated protein 18 homolog (hVPS18)
Q9P258,RCC2,522,Protein RCC2 (RCC1-like protein TD-60) (Telophase disk protein of 60 kDa)
Q9P266,JCAD,1359,Junctional cadherin 5-associated protein (Junctional protein associated with coronary artery disease) (JCAD)
Q9P267,MBD5,1494,Methyl-CpG-binding domain protein 5 (Methyl-CpG-binding protein MBD5)
Q9P270,SLAIN2,581,SLAIN motif-containing protein 2
Q9P272,TRMT9B,454,Probable tRNA methyltransferase 9B (Probable tRNA methyltransferase 9-like protein) (EC 2.1.1.-)
Q9P273,TENM3,2699,Teneurin-3 (Ten-3) (Protein Odd Oz/ten-m homolog 3) (Tenascin-M3) (Ten-m3) (Teneurin transmembrane protein 3)
Q9P275,USP36,1123,Ubiquitin carboxyl-terminal hydrolase 36 (EC 2.3.2.-) (EC 3.4.19.12) (Deubiquitinating enzyme 36) (Ubiquitin thioesterase 36) (Ubiquitin-specific-processing protease 36)
Q9P278,FNIP2,1114,Folliculin-interacting protein 2 (FNIP1-like protein) (O6-methylguanine-induced apoptosis 1 protein)
Q9P283,SEMA5B,1151,Semaphorin-5B
Q9P286,PAK5,719,Serine/threonine-protein kinase PAK 5 (EC 2.7.11.1) (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7)
Q9P287,BCCIP,314,BRCA2 and CDKN1A-interacting protein (P21- and CDK-associated protein 1) (Protein TOK-1)
Q9P289,STK26,416,Serine/threonine-protein kinase 26 (EC 2.7.11.1) (MST3 and SOK1-related kinase) (Mammalian STE20-like protein kinase 4) (MST-4) (STE20-like kinase MST4) (Serine/threonine-protein kinase MASK)
Q9P296,C5AR2,337,C5a anaphylatoxin chemotactic receptor 2 (Complement component 5a receptor 2) (G-protein coupled receptor 77)
Q9P2A4,ABI3,366,ABI gene family member 3 (New molecule including SH3) (Nesh)
Q9P2B2,PTGFRN,879,Prostaglandin F2 receptor negative regulator (CD9 partner 1) (CD9P-1) (Glu-Trp-Ile EWI motif-containing protein F) (EWI-F) (Prostaglandin F2-alpha receptor regulatory protein) (Prostaglandin F2-alpha receptor-associated protein) (CD antigen CD315)
Q9P2B4,CTTNBP2NL,639,CTTNBP2 N-terminal-like protein
Q9P2D0,IBTK,1353,Inhibitor of Bruton tyrosine kinase (IBtk)
Q9P2D1,CHD7,2997,ATP-dependent chromatin remodeler CHD7 (EC 3.6.4.-) (Chromo domain-containing protein 7) (CHD-7)
Q9P2D3,HEATR5B,2071,HEAT repeat-containing protein 5B
Q9P2D7,DNAH1,4265,Dynein axonemal heavy chain 1 (Axonemal beta dynein heavy chain 1) (Ciliary dynein heavy chain 1) (Heat shock regulated protein 1) (HSRF-1) (hDHC7)
Q9P2E2,KIF17,1029,Kinesin-like protein KIF17 (KIF3-related motor protein)
Q9P2E3,ZNFX1,1918,NFX1-type zinc finger-containing protein 1
Q9P2E5,CHPF2,772,Chondroitin sulfate glucuronyltransferase (EC 2.4.1.226) (CSGlcA-T) (Chondroitin glucuronyltransferase) (Chondroitin polymerizing factor 2) (ChPF-2) (Chondroitin synthase 3) (ChSy-3) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase)
